match_id,start_date,venue,batting_team,bowling_team,runs_off_bat,extras,wicket_type,total_runs,teams
1343941,2023-01-10,"Newlands, Cape Town","['Paarl Royals', 'MI Cape Town']","['Paarl Royals', 'MI Cape Town']",275,10,221,285,MI Cape Town vs Paarl Royals
1343942,2023-01-11,"Kingsmead, Durban","['Joburg Super Kings', ""Durban's Super Giants""]","['Joburg Super Kings', ""Durban's Super Giants""]",347,17,251,364,Durban's Super Giants vs Joburg Super Kings
1343943,2023-01-12,"St George's Park, Gqeberha","['Pretoria Capitals', 'Sunrisers Eastern Cape']","['Pretoria Capitals', 'Sunrisers Eastern Cape']",352,11,244,363,Pretoria Capitals vs Sunrisers Eastern Cape
1343944,2023-01-13,"Boland Park, Paarl","['Paarl Royals', 'Joburg Super Kings']","['Paarl Royals', 'Joburg Super Kings']",158,5,171,163,Joburg Super Kings vs Paarl Royals
1343945,2023-01-13,"Newlands, Cape Town","['MI Cape Town', ""Durban's Super Giants""]","['MI Cape Town', ""Durban's Super Giants""]",288,18,226,306,Durban's Super Giants vs MI Cape Town
1343946,2023-01-14,"SuperSport Park, Centurion","['Pretoria Capitals', 'Sunrisers Eastern Cape']","['Pretoria Capitals', 'Sunrisers Eastern Cape']",379,16,248,395,Pretoria Capitals vs Sunrisers Eastern Cape
1343947,2023-01-14,"Newlands, Cape Town","['Joburg Super Kings', 'MI Cape Town']","['MI Cape Town', 'Joburg Super Kings']",186,26,231,212,Joburg Super Kings vs MI Cape Town
1343948,2023-01-15,"Kingsmead, Durban","['Paarl Royals', ""Durban's Super Giants""]","['Paarl Royals', ""Durban's Super Giants""]",376,29,255,405,Durban's Super Giants vs Paarl Royals
1343949,2023-01-16,"St George's Park, Gqeberha","['MI Cape Town', 'Sunrisers Eastern Cape']","['Sunrisers Eastern Cape', 'MI Cape Town']",301,19,243,320,MI Cape Town vs Sunrisers Eastern Cape
1343950,2023-01-17,"Boland Park, Paarl","['Paarl Royals', ""Durban's Super Giants""]","['Paarl Royals', ""Durban's Super Giants""]",302,26,255,328,Durban's Super Giants vs Paarl Royals
1343951,2023-01-17,"The Wanderers Stadium, Johannesburg","['Pretoria Capitals', 'Joburg Super Kings']","['Pretoria Capitals', 'Joburg Super Kings']",317,13,249,330,Joburg Super Kings vs Pretoria Capitals
1343952,2023-01-18,"Newlands, Cape Town","['MI Cape Town', 'Sunrisers Eastern Cape']","['Sunrisers Eastern Cape', 'MI Cape Town']",328,15,250,343,MI Cape Town vs Sunrisers Eastern Cape
1343953,2023-01-18,"SuperSport Park, Centurion","['Pretoria Capitals', 'Joburg Super Kings']","['Pretoria Capitals', 'Joburg Super Kings']",229,16,179,245,Joburg Super Kings vs Pretoria Capitals
1343954,2023-01-19,"Boland Park, Paarl","['Paarl Royals', 'Sunrisers Eastern Cape']","['Paarl Royals', 'Sunrisers Eastern Cape']",240,18,236,258,Paarl Royals vs Sunrisers Eastern Cape
1343955,2023-01-20,"Kingsmead, Durban","['Pretoria Capitals', ""Durban's Super Giants""]","['Pretoria Capitals', ""Durban's Super Giants""]",154,10,159,164,Durban's Super Giants vs Pretoria Capitals
1343956,2023-01-21,"Boland Park, Paarl","['Paarl Royals', 'MI Cape Town']","['Paarl Royals', 'MI Cape Town']",257,14,247,271,MI Cape Town vs Paarl Royals
1343957,2023-01-21,"St George's Park, Gqeberha","['Sunrisers Eastern Cape', 'Joburg Super Kings']","['Joburg Super Kings', 'Sunrisers Eastern Cape']",241,14,239,255,Joburg Super Kings vs Sunrisers Eastern Cape
1343958,2023-01-22,"Boland Park, Paarl","['Pretoria Capitals', 'Paarl Royals']","['Pretoria Capitals', 'Paarl Royals']",297,23,250,320,Paarl Royals vs Pretoria Capitals
1343959,2023-01-22,"St George's Park, Gqeberha","['Sunrisers Eastern Cape', ""Durban's Super Giants""]","['Sunrisers Eastern Cape', ""Durban's Super Giants""]",283,13,213,296,Durban's Super Giants vs Sunrisers Eastern Cape
1343960,2023-01-23,"Newlands, Cape Town","['Pretoria Capitals', 'MI Cape Town']","['Pretoria Capitals', 'MI Cape Town']",292,20,240,312,MI Cape Town vs Pretoria Capitals
1343961,2023-01-24,"St George's Park, Gqeberha","['Paarl Royals', 'Sunrisers Eastern Cape']","['Paarl Royals', 'Sunrisers Eastern Cape']",253,8,236,261,Paarl Royals vs Sunrisers Eastern Cape
1343962,2023-01-24,"The Wanderers Stadium, Johannesburg","['Joburg Super Kings', ""Durban's Super Giants""]","['Joburg Super Kings', ""Durban's Super Giants""]",336,24,241,360,Durban's Super Giants vs Joburg Super Kings
1343963,2023-02-02,"Kingsmead, Durban","['MI Cape Town', ""Durban's Super Giants""]","['MI Cape Town', ""Durban's Super Giants""]",309,25,253,334,Durban's Super Giants vs MI Cape Town
1343964,2023-02-03,"The Wanderers Stadium, Johannesburg",['Paarl Royals'],['Joburg Super Kings'],119,12,92,131,Joburg Super Kings vs Paarl Royals
