match_id,innings,over_number,runs_off_bat,extras,wicket_type,total_runs
1343941,1,0,7,1,7,8
1343941,1,1,1,0,6,1
1343941,1,2,0,0,6,0
1343941,1,3,9,0,6,9
1343941,1,4,13,0,6,13
1343941,1,5,10,0,6,10
1343941,1,6,2,2,8,4
1343941,1,7,5,0,6,5
1343941,1,8,6,0,6,6
1343941,1,9,2,0,6,2
1343941,1,10,5,0,6,5
1343941,1,11,17,2,8,19
1343941,1,12,4,0,6,4
1343941,1,13,11,1,7,12
1343941,1,14,6,0,6,6
1343941,1,15,0,1,7,1
1343941,1,16,9,0,6,9
1343941,1,17,17,0,6,17
1343941,1,18,2,0,6,2
1343941,1,19,9,0,6,9
1343941,2,0,2,1,6,3
1343941,2,1,4,0,6,4
1343941,2,2,13,0,6,13
1343941,2,3,7,0,6,7
1343941,2,4,4,0,6,4
1343941,2,5,16,0,6,16
1343941,2,6,7,0,6,7
1343941,2,7,4,0,6,4
1343941,2,8,13,1,7,14
1343941,2,9,10,1,6,11
1343941,2,10,7,0,6,7
1343941,2,11,8,0,6,8
1343941,2,12,10,0,6,10
1343941,2,13,12,0,6,12
1343941,2,14,15,0,6,15
1343941,2,15,8,0,3,8
1343942,1,0,3,0,6,3
1343942,1,1,3,0,6,3
1343942,1,2,2,0,6,2
1343942,1,3,6,0,6,6
1343942,1,4,10,0,6,10
1343942,1,5,3,0,6,3
1343942,1,6,5,0,6,5
1343942,1,7,7,0,6,7
1343942,1,8,3,0,6,3
1343942,1,9,16,0,6,16
1343942,1,10,12,0,6,12
1343942,1,11,8,0,6,8
1343942,1,12,10,1,7,11
1343942,1,13,10,0,6,10
1343942,1,14,16,1,7,17
1343942,1,15,15,0,6,15
1343942,1,16,15,2,8,17
1343942,1,17,10,2,7,12
1343942,1,18,17,1,7,18
1343942,1,19,12,0,6,12
1343942,2,0,12,0,6,12
1343942,2,1,15,1,7,16
1343942,2,2,2,0,6,2
1343942,2,3,9,1,6,10
1343942,2,4,3,0,6,3
1343942,2,5,21,1,7,22
1343942,2,6,4,0,6,4
1343942,2,7,8,0,6,8
1343942,2,8,5,0,6,5
1343942,2,9,7,0,6,7
1343942,2,10,8,1,6,9
1343942,2,11,9,0,6,9
1343942,2,12,15,0,6,15
1343942,2,13,4,0,6,4
1343942,2,14,5,0,6,5
1343942,2,15,4,0,6,4
1343942,2,16,9,1,6,10
1343942,2,17,7,1,6,8
1343942,2,18,14,3,9,17
1343942,2,19,3,1,6,4
1343943,1,0,13,0,6,13
1343943,1,1,2,0,6,2
1343943,1,2,6,0,6,6
1343943,1,3,12,1,6,13
1343943,1,4,14,0,6,14
1343943,1,5,9,0,6,9
1343943,1,6,6,1,6,7
1343943,1,7,4,0,6,4
1343943,1,8,10,0,6,10
1343943,1,9,6,0,6,6
1343943,1,10,6,1,6,7
1343943,1,11,8,3,7,11
1343943,1,12,6,0,6,6
1343943,1,13,12,0,6,12
1343943,1,14,9,0,6,9
1343943,1,15,9,0,6,9
1343943,1,16,11,1,7,12
1343943,1,17,10,1,7,11
1343943,1,18,12,0,6,12
1343943,1,19,20,0,6,20
1343943,2,0,2,0,6,2
1343943,2,1,0,0,6,0
1343943,2,2,13,0,6,13
1343943,2,3,6,0,6,6
1343943,2,4,0,0,6,0
1343943,2,5,7,0,6,7
1343943,2,6,2,0,6,2
1343943,2,7,5,1,6,6
1343943,2,8,13,0,6,13
1343943,2,9,14,1,7,15
1343943,2,10,9,0,6,9
1343943,2,11,9,0,6,9
1343943,2,12,8,0,6,8
1343943,2,13,5,0,6,5
1343943,2,14,12,0,6,12
1343943,2,15,14,0,6,14
1343943,2,16,14,0,6,14
1343943,2,17,9,0,6,9
1343943,2,18,7,1,6,8
1343943,2,19,18,0,6,18
1343944,1,0,4,0,6,4
1343944,1,1,2,0,6,2
1343944,1,2,3,0,6,3
1343944,1,3,1,0,6,1
1343944,1,4,6,0,6,6
1343944,1,5,1,0,6,1
1343944,1,6,13,1,7,14
1343944,1,7,4,0,6,4
1343944,1,8,5,1,7,6
1343944,1,9,3,0,6,3
1343944,1,10,6,0,6,6
1343944,1,11,4,1,7,5
1343944,1,12,3,0,6,3
1343944,1,13,9,1,6,10
1343944,1,14,5,0,6,5
1343944,1,15,2,0,6,2
1343944,1,16,4,0,6,4
1343944,1,17,2,0,2,2
1343944,2,0,5,0,6,5
1343944,2,1,1,0,6,1
1343944,2,2,10,0,6,10
1343944,2,3,11,1,7,12
1343944,2,4,9,0,6,9
1343944,2,5,10,0,6,10
1343944,2,6,4,0,6,4
1343944,2,7,6,0,6,6
1343944,2,8,11,0,6,11
1343944,2,9,9,0,6,9
1343944,2,10,5,0,3,5
1343945,1,0,3,1,7,4
1343945,1,1,4,0,6,4
1343945,1,2,6,0,6,6
1343945,1,3,9,1,7,10
1343945,1,4,13,0,6,13
1343945,1,5,7,0,6,7
1343945,1,6,1,0,6,1
1343945,1,7,7,0,6,7
1343945,1,8,4,0,6,4
1343945,1,9,2,0,6,2
1343945,1,10,5,0,6,5
1343945,1,11,1,1,7,2
1343945,1,12,19,0,6,19
1343945,1,13,16,1,6,17
1343945,1,14,3,1,6,4
1343945,1,15,2,0,6,2
1343945,1,16,4,0,6,4
1343945,1,17,13,0,6,13
1343945,1,18,13,0,6,13
1343945,1,19,14,1,7,15
1343945,2,0,3,0,6,3
1343945,2,1,15,0,6,15
1343945,2,2,11,0,6,11
1343945,2,3,6,6,7,12
1343945,2,4,10,2,7,12
1343945,2,5,6,1,6,7
1343945,2,6,2,0,6,2
1343945,2,7,5,1,6,6
1343945,2,8,5,0,6,5
1343945,2,9,12,0,6,12
1343945,2,10,14,0,6,14
1343945,2,11,13,0,6,13
1343945,2,12,8,0,6,8
1343945,2,13,9,1,7,10
1343945,2,14,1,1,6,2
1343945,2,15,10,0,6,10
1343945,2,16,12,0,3,12
1343946,1,0,13,0,6,13
1343946,1,1,2,0,6,2
1343946,1,2,11,0,6,11
1343946,1,3,6,4,6,10
1343946,1,4,10,1,7,11
1343946,1,5,12,1,6,13
1343946,1,6,6,0,6,6
1343946,1,7,9,0,6,9
1343946,1,8,12,0,6,12
1343946,1,9,9,0,6,9
1343946,1,10,10,1,7,11
1343946,1,11,19,0,6,19
1343946,1,12,23,1,6,24
1343946,1,13,8,1,7,9
