match_id,batting_team,striker,non_striker,runs_off_bat,ball,runs_per_ball
1392655,MI Cape Town,HE van der Dussen,RD Rickelton,104,52,2.0
1343962,Joburg Super Kings,F du Plessis,RR Hendricks,99,54,1.83
1392655,MI Cape Town,RD Rickelton,HE van der Dussen,91,46,1.98
1392657,Pretoria Capitals,RR Rossouw,WG Jacks,82,47,1.74
1343967,Joburg Super Kings,F du Plessis,RR Hendricks,76,51,1.49
1392659,Sunrisers Eastern Cape,J Hermann,DJ Malan,75,45,1.67
1343959,Sunrisers Eastern Cape,AM Rossington,J Hermann,72,30,2.4
1392657,Paarl Royals,M Van Buuren,DA Miller,72,43,1.67
1392683,Joburg Super Kings,JL du Plooy,F du Plessis,68,47,1.45
1392665,Paarl Royals,JJ Roy,JC Buttler,68,47,1.45
1343946,Pretoria Capitals,WG Jacks,TB de Bruyn,65,33,1.97
1392670,Durban's Super Giants,Q de Kock,JT Smuts,65,44,1.48
1392657,Paarl Royals,DA Miller,M Van Buuren,63,33,1.91
1392684,Durban's Super Giants,H Klaasen,PWA Mulder,61,19,3.21
1392656,Sunrisers Eastern Cape,TB Abell,AK Markram,61,33,1.85
1392656,Durban's Super Giants,JT Smuts,N Pooran,60,27,2.22
1343948,Paarl Royals,EJG Morgan,DJ Vilas,59,36,1.64
1392680,Durban's Super Giants,PWA Mulder,JT Smuts,59,39,1.51
1392677,Pretoria Capitals,K Verreynne,AU Rashid,59,21,2.81
1392659,MI Cape Town,RD Rickelton,HE van der Dussen,58,34,1.71
1392673,Durban's Super Giants,MP Breetzke,MP Stoinis,58,31,1.87
1392657,Pretoria Capitals,WG Jacks,RR Rossouw,57,35,1.63
1392680,Joburg Super Kings,F du Plessis,JL du Plooy,57,31,1.84
1343960,Pretoria Capitals,WG Jacks,BKG Mendis,57,25,2.28
1392685,Sunrisers Eastern Cape,T Stubbs,AK Markram,56,30,1.87
1343952,MI Cape Town,G Roelofsen,RD Rickelton,56,36,1.56
1343955,Pretoria Capitals,WG Jacks,TB de Bruyn,56,25,2.24
1392664,Joburg Super Kings,D Ferreira,MM Ali,56,20,2.8
1343942,Durban's Super Giants,Q de Kock,KR Mayers,55,39,1.41
1392680,Durban's Super Giants,JT Smuts,PWA Mulder,55,32,1.72
1392685,Sunrisers Eastern Cape,TB Abell,J Hermann,55,32,1.72
1343948,Durban's Super Giants,Q de Kock,PWA Mulder,54,30,1.8
1392653,MI Cape Town,RD Rickelton,HE van der Dussen,54,28,1.93
1392659,Sunrisers Eastern Cape,DJ Malan,J Hermann,53,42,1.26
1343972,Sunrisers Eastern Cape,AK Markram,T Stubbs,52,24,2.17
1392670,Durban's Super Giants,JT Smuts,Q de Kock,51,39,1.31
1392674,Joburg Super Kings,F du Plessis,JL du Plooy,50,20,2.5
1392678,Sunrisers Eastern Cape,M Jansen,T Stubbs,50,26,1.92
1343962,Durban's Super Giants,H Klaasen,MP Breetzke,49,36,1.36
1343972,Sunrisers Eastern Cape,AK Markram,J Hermann,48,36,1.33
1392677,Pretoria Capitals,K Verreynne,WD Parnell,47,23,2.04
1343972,Sunrisers Eastern Cape,J Hermann,AK Markram,47,36,1.31
1343952,Sunrisers Eastern Cape,M Jansen,BA Carse,47,17,2.76
1343968,Durban's Super Giants,MP Breetzke,H Klaasen,46,23,2.0
1392661,Pretoria Capitals,WG Jacks,PD Salt,46,20,2.3
1343949,Sunrisers Eastern Cape,AK Markram,SJ Erwee,46,31,1.48
1392678,Sunrisers Eastern Cape,TB Abell,J Hermann,46,26,1.77
1343941,MI Cape Town,D Brevis,RD Rickelton,45,32,1.41
1343962,Joburg Super Kings,RR Hendricks,F du Plessis,45,48,0.94
1343952,MI Cape Town,RD Rickelton,G Roelofsen,45,34,1.32
1392665,Paarl Royals,JC Buttler,JJ Roy,45,33,1.36
1392663,Durban's Super Giants,PWA Mulder,D Pretorius,45,22,2.05
1343973,Sunrisers Eastern Cape,AM Rossington,J Hermann,45,15,3.0
1343946,Sunrisers Eastern Cape,AK Markram,JT Smuts,44,25,1.76
1343948,Paarl Royals,DJ Vilas,EJG Morgan,44,33,1.33
1392668,Paarl Royals,WJ Lubbe,DJ Vilas,43,29,1.48
1392675,Durban's Super Giants,MP Breetzke,Q de Kock,43,24,1.79
1343968,Durban's Super Giants,Q de Kock,BR McDermott,43,20,2.15
1343941,MI Cape Town,RD Rickelton,D Brevis,42,33,1.27
1343951,Joburg Super Kings,JL du Plooy,RR Hendricks,42,30,1.4
1343946,Pretoria Capitals,TB de Bruyn,WG Jacks,42,23,1.83
1392677,MI Cape Town,RD Rickelton,HE van der Dussen,42,21,2.0
1392662,MI Cape Town,RD Rickelton,C Esterhuizen,42,25,1.68
1392685,Sunrisers Eastern Cape,AK Markram,T Stubbs,41,25,1.64
1392662,MI Cape Town,HE van der Dussen,RD Rickelton,41,29,1.41
1392674,Joburg Super Kings,JL du Plooy,F du Plessis,41,17,2.41
1392668,Paarl Royals,DJ Vilas,WJ Lubbe,41,25,1.64
1343942,Joburg Super Kings,D Ferreira,F du Plessis,41,25,1.64
1343942,Joburg Super Kings,D Ferreira,R Shepherd,41,19,2.16
1343967,Joburg Super Kings,RR Hendricks,F du Plessis,40,37,1.08
1343969,Joburg Super Kings,MS Wade,JL du Plooy,40,18,2.22
1392680,Durban's Super Giants,H Klaasen,KMA Paul,40,18,2.22
1392659,MI Cape Town,HE van der Dussen,RD Rickelton,40,27,1.48
1392684,Durban's Super Giants,PWA Mulder,H Klaasen,40,19,2.11
1343942,Joburg Super Kings,R Shepherd,D Ferreira,40,21,1.9
1343949,Sunrisers Eastern Cape,SJ Erwee,AK Markram,40,28,1.43
1343948,Durban's Super Giants,KR Mayers,PWA Mulder,39,23,1.7
1343966,Pretoria Capitals,BKG Mendis,PD Salt,39,22,1.77
1392660,Paarl Royals,WJ Lubbe,JC Buttler,39,30,1.3
1392671,Sunrisers Eastern Cape,TB Abell,DJ Malan,39,27,1.44
1343942,Durban's Super Giants,KR Mayers,Q de Kock,39,29,1.34
1343968,Durban's Super Giants,H Klaasen,PWA Mulder,39,15,2.6
1343970,Pretoria Capitals,PD Salt,BKG Mendis,39,22,1.77
1392673,Durban's Super Giants,MP Stoinis,MP Breetzke,38,36,1.06
1392685,Durban's Super Giants,PWA Mulder,MP Breetzke,38,24,1.58
1392663,Sunrisers Eastern Cape,T Stubbs,M Jansen,38,17,2.24
1343947,MI Cape Town,D Brevis,RD Rickelton,38,29,1.31
1392677,MI Cape Town,RD Rickelton,D Brevis,38,16,2.38
1343966,Pretoria Capitals,RR Rossouw,S Dadswell,38,19,2.0
1392662,Paarl Royals,JJ Roy,JC Buttler,38,14,2.71
1392660,Paarl Royals,JC Buttler,WJ Lubbe,38,25,1.52
1343943,Pretoria Capitals,JDS Neesham,PD Salt,37,30,1.23
1392681,Sunrisers Eastern Cape,AK Markram,T Bavuma,37,27,1.37
1343958,Pretoria Capitals,BKG Mendis,TB de Bruyn,37,24,1.54
1343961,Paarl Royals,JC Buttler,JJ Roy,37,20,1.85
1392680,Joburg Super Kings,JL du Plooy,F du Plessis,37,27,1.37
1392664,Joburg Super Kings,BS Makhanya,JL du Plooy,37,25,1.48
1392661,Pretoria Capitals,CA Ingram,JDS Neesham,36,16,2.25
1343945,Durban's Super Giants,H Klaasen,PWA Mulder,36,22,1.64
1392668,Joburg Super Kings,RR Hendricks,MM Ali,36,15,2.4
1392662,MI Cape Town,RD Rickelton,HE van der Dussen,36,22,1.64
1343953,Joburg Super Kings,F du Plessis,JL du Plooy,36,13,2.77
1392671,Sunrisers Eastern Cape,AK Markram,TB Abell,36,19,1.89
1392656,Durban's Super Giants,MP Breetzke,Q de Kock,35,17,2.06
1392667,MI Cape Town,SM Curran,D Brevis,35,24,1.46
1392656,Durban's Super Giants,N Pooran,JT Smuts,35,26,1.35
1392678,Paarl Royals,JC Buttler,JJ Roy,35,23,1.52
1392680,Joburg Super Kings,WL Madsen,JL du Plooy,35,25,1.4
1343967,Sunrisers Eastern Cape,T Bavuma,AK Markram,35,23,1.52
1343968,Durban's Super Giants,H Klaasen,MP Breetzke,35,16,2.19
1343963,Durban's Super Giants,Q de Kock,MP Breetzke,35,22,1.59
1392679,MI Cape Town,RD Rickelton,HE van der Dussen,35,25,1.4
1392679,Pretoria Capitals,TB de Bruyn,S Muthusamy,35,25,1.4
1343943,Sunrisers Eastern Cape,JT Smuts,TB Abell,34,22,1.55
1343953,Pretoria Capitals,WG Jacks,PD Salt,34,16,2.12
