player,total_runs,balls_faced,matches_played,powerplay_balls,strike_rate,average
A Dananjaya,4,9,1,0,44.44,4.0
A Nortje,15,10,3,0,150.0,5.0
AK Markram,627,483,21,104,129.81,29.86
AL Phehlukwayo,102,96,10,0,106.25,10.2
AM Phangiso,46,42,4,0,109.52,11.5
AM Rossington,259,167,12,141,155.09,21.58
AS Joseph,20,21,3,0,95.24,6.67
AU Rashid,80,53,10,0,150.94,8.0
B Swanepoel,8,9,2,0,88.89,4.0
BA Carse,57,54,6,0,105.56,9.5
BC Fortuin,70,83,12,0,84.34,5.83
BKG Mendis,223,155,7,114,143.87,31.86
BR McDermott,46,31,2,24,148.39,23.0
BS Makhanya,88,71,9,24,123.94,9.78
C Bosch,45,57,5,6,78.95,9.0
C Esterhuizen,81,78,5,28,103.85,16.2
C Fortuin,11,14,1,0,78.57,11.0
C Jonker,13,19,2,0,68.42,6.5
CA Ingram,139,138,11,18,100.72,12.64
CJ Dala,18,17,3,0,105.88,6.0
CN Ackermann,24,28,3,1,85.71,8.0
Codi Yusuf,30,31,4,0,96.77,7.5
D Brevis,385,319,19,106,120.69,20.26
D Ferreira,289,201,17,4,143.78,17.0
D Jansen,15,10,2,0,150.0,7.5
D Potgieter,87,63,8,0,138.1,10.88
D Pretorius,127,121,14,6,104.96,9.07
D Wiese,9,16,1,0,56.25,9.0
DA Miller,467,389,21,17,120.05,22.24
DAJ Bracewell,35,24,2,0,145.83,17.5
DJ Malan,210,198,10,116,106.06,21.0
DJ Vilas,254,221,13,30,114.93,19.54
DJ Willey,3,7,2,0,42.86,1.5
DJ Worrall,3,7,3,0,42.86,1.0
DM Dupavillon,8,11,4,0,72.73,2.0
Dayyaan Galiem,1,3,1,0,33.33,1.0
E Bosch,142,149,15,0,95.3,9.47
E Jones,33,49,8,0,67.35,4.12
EJG Morgan,128,92,6,3,139.13,21.33
F du Plessis,608,428,21,256,142.06,28.95
FA Allen,38,27,6,0,140.74,6.33
FD Adams,18,14,4,0,128.57,4.5
G Coetzee,16,29,5,11,55.17,3.2
G Roelofsen,198,180,9,96,110.0,22.0
GC Viljoen,27,23,5,0,117.39,5.4
GF Linde,178,138,12,4,128.99,14.83
GHS Garton,20,25,3,0,80.0,6.67
H Klaasen,810,452,22,18,179.2,36.82
HE van der Dussen,571,434,20,186,131.57,28.55
I Manack,4,3,1,0,133.33,4.0
Imran Tahir,3,13,4,0,23.08,0.75
