player,powerplay_runs,powerplay_balls,matches,powerplay_strike_rate
AK Markram,101,104,13,97.12
AM Rossington,222,141,12,157.45
BKG Mendis,156,114,7,136.84
BR McDermott,38,24,2,158.33
BS Makhanya,34,24,4,141.67
C Bosch,4,6,1,66.67
C Esterhuizen,17,28,2,60.71
CA Ingram,6,18,4,33.33
CN Ackermann,0,1,1,0.0
D Brevis,89,106,10,83.96
D Ferreira,0,4,1,0.0
D Pretorius,7,6,2,116.67
DA Miller,7,17,6,41.18
DJ Malan,117,116,10,100.86
DJ Vilas,20,30,4,66.67
EJG Morgan,7,3,1,233.33
F du Plessis,351,256,21,137.11
G Coetzee,4,11,1,36.36
G Roelofsen,103,96,7,107.29
GF Linde,2,4,1,50.0
H Klaasen,15,18,4,83.33
HE van der Dussen,259,186,15,139.25
J Hermann,252,263,19,95.82
JC Buttler,422,298,22,141.61
JDS Neesham,3,8,2,37.5
JJ Roy,340,262,22,129.77
JL du Plooy,237,156,14,151.92
JM Cox,5,12,2,41.67
JN Malan,23,38,3,60.53
JO Holder,1,8,1,12.5
JT Smuts,161,132,17,121.97
K Verreynne,103,82,10,125.61
KI Simmonds,0,1,1,0.0
KMA Paul,16,16,2,100.0
KR Mayers,150,113,8,132.74
L Gregory,4,8,2,50.0
LS Livingstone,19,19,3,100.0
M Van Buuren,31,28,5,110.71
MM Ali,13,22,4,59.09
MP Breetzke,278,213,16,130.52
MP Stoinis,0,2,1,0.0
MS Wade,31,13,1,238.46
N Brand,11,11,1,100.0
PBB Rajapaksa,4,5,2,80.0
PD Salt,252,177,19,142.37
PR Stirling,40,23,2,173.91
PWA Mulder,122,101,11,120.79
Q de Kock,254,198,20,128.28
R Herrmann,10,9,2,111.11
RD Rickelton,366,260,17,140.77
RR Hendricks,148,192,18,77.08
RR Rossouw,118,104,15,113.46
S Dadswell,1,3,2,33.33
S Muthusamy,4,4,1,100.0
SJ Erwee,47,42,6,111.9
SM Curran,21,24,4,87.5
T Bavuma,23,18,5,127.78
T Stubbs,4,6,2,66.67
T de Zorzi,61,52,6,117.31
TB Abell,127,89,7,142.7
TB de Bruyn,104,111,15,93.69
WB Marshall,20,21,2,95.24
WD Parnell,4,2,1,200.0
WG Jacks,337,183,16,184.15
WJ Lubbe,165,152,17,108.55
WL Madsen,22,13,2,169.23
