player,runs_conceded,extras,balls_bowled,wickets,powerplay_economy
A Dananjaya,14,0,12,12,7.0
A Gqamane,12,0,6,6,12.0
A Nortje,64,2,61,61,6.49
AK Markram,46,5,55,55,5.56
AL Phehlukwayo,18,1,13,13,8.77
AM Phangiso,12,0,12,12,6.0
AS Joseph,107,11,85,85,8.33
AU Rashid,11,1,6,6,12.0
B Swanepoel,57,2,31,31,11.42
BA Carse,25,2,25,25,6.48
BC Fortuin,294,9,284,284,6.4
BE Hendricks,80,8,58,58,9.1
C Bosch,27,1,12,12,14.0
CJ Dala,18,0,12,12,9.0
Codi Yusuf,76,3,48,48,9.88
D Jansen,19,3,20,20,6.6
D Pretorius,54,3,43,43,7.95
D Wiese,16,0,12,12,8.0
DAJ Bracewell,29,0,18,18,9.67
DJ Willey,34,1,25,25,8.4
DJ Worrall,177,5,160,160,6.82
DM Dupavillon,148,6,101,101,9.15
Dayyaan Galiem,5,1,7,7,5.14
E Bosch,380,13,314,314,7.51
E Jones,37,2,26,26,9.0
FD Adams,22,0,12,12,11.0
G Coetzee,116,15,90,90,8.73
GC Viljoen,67,2,36,36,11.5
GF Linde,167,24,144,144,7.96
GHS Garton,34,0,24,24,8.5
I Manack,9,0,6,6,9.0
Imran Tahir,15,0,12,12,7.5
J Little,36,0,24,24,9.0
JA Turner,12,3,14,14,6.43
JC Archer,76,5,57,57,8.53
JDS Neesham,4,1,13,13,2.31
JK Fuller,48,8,33,33,10.18
JO Holder,55,10,37,37,10.54
JT Smuts,94,2,84,84,6.86
K Rabada,259,5,190,190,8.34
KA Maharaj,66,4,60,60,7.0
KA Pollard,7,1,5,5,9.6
KI Simmonds,29,0,18,18,9.67
KMA Paul,19,7,18,18,8.67
KR Mayers,37,8,58,58,4.66
L Ngidi,261,15,234,234,7.08
LA Dawson,26,6,26,26,7.38
LB Williams,136,17,121,121,7.59
LS Livingstone,30,0,12,12,15.0
M Jansen,263,21,235,235,7.25
M Pretorius,80,1,43,43,11.3
M Theekshana,79,2,73,73,6.66
MM Ali,72,0,54,54,8.0
MP Siboto,21,1,7,7,18.86
MP Stoinis,67,5,49,49,8.82
N Burger,237,14,196,196,7.68
N Thushara,75,5,59,59,8.14
Naveen-ul-Haq,96,3,87,87,6.83
OC McCoy,99,8,91,91,7.05
OEG Baartman,68,6,67,67,6.63
OF Smith,17,0,6,6,17.0
OP Stone,34,7,25,25,9.84
P Subrayen,26,1,25,25,6.48
PWA Mulder,99,2,62,62,9.77
R Shepherd,39,3,26,26,9.69
RE van der Merwe,21,0,12,12,10.5
RJ Gleeson,45,1,25,25,11.04
RJW Topley,322,21,279,279,7.38
RR Hendricks,5,0,12,12,2.5
RR Simmonds,13,0,6,6,13.0
Rashid Khan,20,2,13,13,10.15
S Muthusamy,30,1,13,13,14.31
SJ Cook,26,2,25,25,6.72
SM Curran,227,4,160,160,8.66
SR Harmer,21,0,6,6,21.0
SSB Magala,124,12,111,111,7.35
WD Parnell,184,8,149,149,7.73
WG Jacks,67,4,69,69,6.17
WJ Lubbe,51,0,48,48,6.38
