version,2.2.0
info,balls_per_over,6
info,team,Paarl Royals
info,team,Pretoria Capitals
info,gender,male
info,season,2023/24
info,date,2024/01/12
info,event,SA20
info,match_number,3
info,venue,"Boland Park, Paarl"
info,city,Paarl
info,toss_winner,Pretoria Capitals
info,toss_decision,field
info,player_of_match,AL Phehlukwayo
info,umpire,A Jacobs
info,umpire,BM White
info,reserve_umpire,PJ Vosloo
info,tv_umpire,TC Mokorosi
info,match_referee,LH Matroos
info,winner,Paarl Royals
info,winner_runs,27
info,player,Paarl Royals,JJ Roy
info,player,Paarl Royals,JC Buttler
info,player,Paarl Royals,WJ Lubbe
info,player,Paarl Royals,DA Miller
info,player,Paarl Royals,M Van Buuren
info,player,Paarl Royals,FA Allen
info,player,Paarl Royals,AL Phehlukwayo
info,player,Paarl Royals,BC Fortuin
info,player,Paarl Royals,L Ngidi
info,player,Paarl Royals,T Shamsi
info,player,Paarl Royals,OC McCoy
info,player,Pretoria Capitals,PD Salt
info,player,Pretoria Capitals,WG Jacks
info,player,Pretoria Capitals,TB de Bruyn
info,player,Pretoria Capitals,RR Rossouw
info,player,Pretoria Capitals,CA Ingram
info,player,Pretoria Capitals,C Bosch
info,player,Pretoria Capitals,JDS Neesham
info,player,Pretoria Capitals,E Bosch
info,player,Pretoria Capitals,S Muthusamy
info,player,Pretoria Capitals,AU Rashid
info,player,Pretoria Capitals,DM Dupavillon
info,registry,people,A Jacobs,70d117de
info,registry,people,AL Phehlukwayo,ab6b1c45
info,registry,people,AU Rashid,249d60c9
info,registry,people,BC Fortuin,9a2fc964
info,registry,people,BM White,66c21d35
info,registry,people,C Bosch,172dff15
info,registry,people,CA Ingram,c995d726
info,registry,people,DA Miller,d67d5f00
info,registry,people,DM Dupavillon,7cb2d9d2
info,registry,people,E Bosch,28d6c44d
info,registry,people,FA Allen,b52ffbbd
info,registry,people,JC Buttler,99b75528
info,registry,people,JDS Neesham,9219eff0
info,registry,people,JJ Roy,d1c36f5c
info,registry,people,L Ngidi,f834dcfc
info,registry,people,LH Matroos,6fa18157
info,registry,people,M Van Buuren,46e4a4e0
info,registry,people,OC McCoy,529eb9e0
info,registry,people,PD Salt,3d284ca3
info,registry,people,PJ Vosloo,93a6d2d0
info,registry,people,RR Rossouw,cad00a4d
info,registry,people,S Muthusamy,7dfb8890
info,registry,people,T Shamsi,a03bba42
info,registry,people,TB de Bruyn,90d6cdea
info,registry,people,TC Mokorosi,e93c3cf8
info,registry,people,WG Jacks,9caf69a1
info,registry,people,WJ Lubbe,10f42013
