version,2.2.0
info,balls_per_over,6
info,team,Paarl Royals
info,team,MI Cape Town
info,gender,male
info,season,2023/24
info,date,2024/01/19
info,event,SA20
info,match_number,11
info,venue,"Newlands, Cape Town"
info,city,Cape Town
info,toss_winner,MI Cape Town
info,toss_decision,field
info,player_of_match,RD Rickelton
info,umpire,M Erasmus
info,umpire,RJ Warren
info,reserve_umpire,Siphelele Gasa
info,tv_umpire,A Jacobs
info,match_referee,ZTA Ndamane
info,winner,MI Cape Town
info,winner_wickets,8
info,player,Paarl Royals,JJ Roy
info,player,Paarl Royals,JC Buttler
info,player,Paarl Royals,WJ Lubbe
info,player,Paarl Royals,DA Miller
info,player,Paarl Royals,M Van Buuren
info,player,Paarl Royals,AL Phehlukwayo
info,player,Paarl Royals,FA Allen
info,player,Paarl Royals,BC Fortuin
info,player,Paarl Royals,L Ngidi
info,player,Paarl Royals,OC McCoy
info,player,Paarl Royals,T Shamsi
info,player,MI Cape Town,HE van der Dussen
info,player,MI Cape Town,RD Rickelton
info,player,MI Cape Town,D Brevis
info,player,MI Cape Town,C Esterhuizen
info,player,MI Cape Town,SM Curran
info,player,MI Cape Town,LS Livingstone
info,player,MI Cape Town,KA Pollard
info,player,MI Cape Town,GF Linde
info,player,MI Cape Town,K Rabada
info,player,MI Cape Town,TP Kaber
info,player,MI Cape Town,OP Stone
info,registry,people,A Jacobs,70d117de
info,registry,people,AL Phehlukwayo,ab6b1c45
info,registry,people,BC Fortuin,9a2fc964
info,registry,people,C Esterhuizen,ef9acbcc
info,registry,people,D Brevis,844e79d1
info,registry,people,DA Miller,d67d5f00
info,registry,people,FA Allen,b52ffbbd
info,registry,people,GF Linde,e5437608
info,registry,people,HE van der Dussen,9948e262
info,registry,people,JC Buttler,99b75528
info,registry,people,JJ Roy,d1c36f5c
info,registry,people,K Rabada,e62dd25d
info,registry,people,KA Pollard,a757b0d8
info,registry,people,L Ngidi,f834dcfc
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,M Erasmus,15d3c895
info,registry,people,M Van Buuren,46e4a4e0
info,registry,people,OC McCoy,529eb9e0
info,registry,people,OP Stone,3f659464
info,registry,people,RD Rickelton,e66732f8
info,registry,people,RJ Warren,9d1c62d7
info,registry,people,SM Curran,e94915e6
info,registry,people,Siphelele Gasa,e50baa87
info,registry,people,T Banton,25f7b7d6
info,registry,people,T Shamsi,a03bba42
info,registry,people,TP Kaber,0773c16a
info,registry,people,WJ Lubbe,10f42013
info,registry,people,ZTA Ndamane,545cc6db
