version,2.2.0
info,balls_per_over,6
info,team,Joburg Super Kings
info,team,Durban's Super Giants
info,gender,male
info,season,2024/25
info,date,2025/01/14
info,event,SA20
info,match_number,8
info,venue,"Kingsmead, Durban"
info,city,Durban
info,toss_winner,Joburg Super Kings
info,toss_decision,bat
info,player_of_match,Q de Kock
info,umpire,A Steenkamp
info,umpire,BM White
info,reserve_umpire,MN Gampu
info,tv_umpire,Stephen Harris
info,match_referee,LH Matroos
info,winner,Joburg Super Kings
info,winner_runs,28
info,player,Joburg Super Kings,F du Plessis
info,player,Joburg Super Kings,DP Conway
info,player,Joburg Super Kings,JL du Plooy
info,player,Joburg Super Kings,JM Bairstow
info,player,Joburg Super Kings,WJ Lubbe
info,player,Joburg Super Kings,D Ferreira
info,player,Joburg Super Kings,D Wiese
info,player,Joburg Super Kings,G Coetzee
info,player,Joburg Super Kings,T Shamsi
info,player,Joburg Super Kings,M Pathirana
info,player,Joburg Super Kings,Imran Tahir
info,player,Durban's Super Giants,BA King
info,player,Durban's Super Giants,MP Breetzke
info,player,Durban's Super Giants,Q de Kock
info,player,Durban's Super Giants,PWA Mulder
info,player,Durban's Super Giants,JF Smith
info,player,Durban's Super Giants,H Klaasen
info,player,Durban's Super Giants,CR Woakes
info,player,Durban's Super Giants,KA Maharaj
info,player,Durban's Super Giants,P Subrayen
info,player,Durban's Super Giants,Noor Ahmad
info,player,Durban's Super Giants,Naveen-ul-Haq
info,registry,people,A Steenkamp,89c62cf5
info,registry,people,BA King,7fca84b7
info,registry,people,BM White,66c21d35
info,registry,people,CR Woakes,4c5d73db
info,registry,people,D Ferreira,f0af99a7
info,registry,people,D Wiese,aa8d28ae
info,registry,people,DP Conway,df5a6881
info,registry,people,F du Plessis,3355b542
info,registry,people,G Coetzee,3204c99f
info,registry,people,H Klaasen,235c2bb6
info,registry,people,Imran Tahir,acee4cc4
info,registry,people,JF Smith,91cd48e0
info,registry,people,JL du Plooy,6e6fb538
info,registry,people,JM Bairstow,abb83e27
info,registry,people,KA Maharaj,0b60eb09
info,registry,people,LH Matroos,6fa18157
info,registry,people,M Pathirana,64839cb3
info,registry,people,MN Gampu,41597619
info,registry,people,MP Breetzke,35f173a0
info,registry,people,Naveen-ul-Haq,c0c411cb
info,registry,people,Noor Ahmad,efc04be7
info,registry,people,P Subrayen,7ec9711d
info,registry,people,PWA Mulder,c96f6ac5
info,registry,people,Q de Kock,372455c4
info,registry,people,Stephen Harris,fdcfd4aa
info,registry,people,T Shamsi,a03bba42
info,registry,people,WJ Lubbe,10f42013
