version,2.2.0
info,balls_per_over,6
info,team,Sunrisers Eastern Cape
info,team,Durban's Super Giants
info,gender,male
info,season,2024/25
info,date,2025/01/17
info,event,SA20
info,match_number,11
info,venue,"Kingsmead, Durban"
info,city,Durban
info,toss_winner,Sunrisers Eastern Cape
info,toss_decision,bat
info,player_of_match,Noor Ahmad
info,umpire,DJ Smith
info,umpire,M Erasmus
info,reserve_umpire,PJ Vosloo
info,tv_umpire,BM White
info,match_referee,ZTA Ndamane
info,winner,Sunrisers Eastern Cape
info,winner_runs,58
info,player,Sunrisers Eastern Cape,DG Bedingham
info,player,Sunrisers Eastern Cape,Z Crawley
info,player,Sunrisers Eastern Cape,TB Abell
info,player,Sunrisers Eastern Cape,AK Markram
info,player,Sunrisers Eastern Cape,J Hermann
info,player,Sunrisers Eastern Cape,M Jansen
info,player,Sunrisers Eastern Cape,T Stubbs
info,player,Sunrisers Eastern Cape,LA Dawson
info,player,Sunrisers Eastern Cape,SR Harmer
info,player,Sunrisers Eastern Cape,OEG Baartman
info,player,Sunrisers Eastern Cape,RJ Gleeson
info,player,Durban's Super Giants,MP Breetzke
info,player,Durban's Super Giants,B Parsons
info,player,Durban's Super Giants,KS Williamson
info,player,Durban's Super Giants,Q de Kock
info,player,Durban's Super Giants,H Klaasen
info,player,Durban's Super Giants,PWA Mulder
info,player,Durban's Super Giants,JF Smith
info,player,Durban's Super Giants,CR Woakes
info,player,Durban's Super Giants,KA Maharaj
info,player,Durban's Super Giants,Noor Ahmad
info,player,Durban's Super Giants,Naveen-ul-Haq
info,registry,people,AK Markram,6a26221c
info,registry,people,B Parsons,fc60e81a
info,registry,people,BM White,66c21d35
info,registry,people,CR Woakes,4c5d73db
info,registry,people,DG Bedingham,a1b69936
info,registry,people,DJ Smith,d17bec15
info,registry,people,H Klaasen,235c2bb6
info,registry,people,J Hermann,e87aeca2
info,registry,people,JF Smith,91cd48e0
info,registry,people,KA Maharaj,0b60eb09
info,registry,people,KS Williamson,d027ba9f
info,registry,people,LA Dawson,4a461c24
info,registry,people,M Erasmus,15d3c895
info,registry,people,M Jansen,81c36ee9
info,registry,people,MP Breetzke,35f173a0
info,registry,people,Naveen-ul-Haq,c0c411cb
info,registry,people,Noor Ahmad,efc04be7
info,registry,people,OEG Baartman,6b9eb501
info,registry,people,PJ Vosloo,93a6d2d0
info,registry,people,PWA Mulder,c96f6ac5
info,registry,people,Q de Kock,372455c4
info,registry,people,RJ Gleeson,402f8494
info,registry,people,SR Harmer,23638956
info,registry,people,T Stubbs,85b3fab2
info,registry,people,TB Abell,ba9258a7
info,registry,people,Z Crawley,922e1b19
info,registry,people,ZTA Ndamane,545cc6db
