version,2.2.0
info,balls_per_over,6
info,team,Joburg Super Kings
info,team,MI Cape Town
info,gender,male
info,season,2024/25
info,date,2025/01/18
info,event,SA20
info,match_number,13
info,venue,"Newlands, Cape Town"
info,city,Cape Town
info,toss_winner,Joburg Super Kings
info,toss_decision,bat
info,player_of_match,RD Rickelton
info,umpire,A Paleker
info,umpire,A Jacobs
info,reserve_umpire,TC Mokorosi
info,tv_umpire,LB Gcuma
info,match_referee,SB Lambson
info,winner,MI Cape Town
info,winner_wickets,7
info,player,Joburg Super Kings,DP Conway
info,player,Joburg Super Kings,F du Plessis
info,player,Joburg Super Kings,JL du Plooy
info,player,Joburg Super Kings,JM Bairstow
info,player,Joburg Super Kings,WJ Lubbe
info,player,Joburg Super Kings,D Ferreira
info,player,Joburg Super Kings,E Jones
info,player,Joburg Super Kings,D Wiese
info,player,Joburg Super Kings,T Shamsi
info,player,Joburg Super Kings,Imran Tahir
info,player,Joburg Super Kings,M Pathirana
info,player,MI Cape Town,HE van der Dussen
info,player,MI Cape Town,RD Rickelton
info,player,MI Cape Town,RR Hendricks
info,player,MI Cape Town,D Brevis
info,player,MI Cape Town,D Potgieter
info,player,MI Cape Town,CA Ingram
info,player,MI Cape Town,GF Linde
info,player,MI Cape Town,C Bosch
info,player,MI Cape Town,Rashid Khan
info,player,MI Cape Town,K Rabada
info,player,MI Cape Town,TA Boult
info,registry,people,A Jacobs,70d117de
info,registry,people,A Paleker,634b11ac
info,registry,people,C Bosch,172dff15
info,registry,people,CA Ingram,c995d726
info,registry,people,D Brevis,844e79d1
info,registry,people,D Ferreira,f0af99a7
info,registry,people,D Potgieter,60fbf53a
info,registry,people,D Wiese,aa8d28ae
info,registry,people,DP Conway,df5a6881
info,registry,people,E Jones,fbfea9c2
info,registry,people,F du Plessis,3355b542
info,registry,people,GF Linde,e5437608
info,registry,people,HE van der Dussen,9948e262
info,registry,people,Imran Tahir,acee4cc4
info,registry,people,JL du Plooy,6e6fb538
info,registry,people,JM Bairstow,abb83e27
info,registry,people,K Rabada,e62dd25d
info,registry,people,LB Gcuma,02ba88e3
info,registry,people,M Pathirana,64839cb3
info,registry,people,RD Rickelton,e66732f8
info,registry,people,RR Hendricks,b8cc58c9
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,SB Lambson,4146063f
info,registry,people,T Shamsi,a03bba42
info,registry,people,TA Boult,a818c1be
info,registry,people,TC Mokorosi,e93c3cf8
info,registry,people,WJ Lubbe,10f42013
