version,2.2.0
info,balls_per_over,6
info,team,Durban's Super Giants
info,team,Sunrisers Eastern Cape
info,gender,male
info,season,2024/25
info,date,2025/01/19
info,event,SA20
info,match_number,14
info,venue,"St George's Park, Gqeberha"
info,city,Gqeberha
info,toss_winner,Durban's Super Giants
info,toss_decision,bat
info,player_of_match,M Jansen
info,umpire,PJ Vosloo
info,umpire,Stephen Harris
info,reserve_umpire,AM Sodumo
info,tv_umpire,Siphelele Gasa
info,match_referee,SA Fritz
info,winner,Sunrisers Eastern Cape
info,winner_wickets,6
info,player,Durban's Super Giants,BA King
info,player,Durban's Super Giants,MP Breetzke
info,player,Durban's Super Giants,KS Williamson
info,player,Durban's Super Giants,Q de Kock
info,player,Durban's Super Giants,JT Smuts
info,player,Durban's Super Giants,PWA Mulder
info,player,Durban's Super Giants,H Klaasen
info,player,Durban's Super Giants,KA Maharaj
info,player,Durban's Super Giants,CJ Dala
info,player,Durban's Super Giants,Naveen-ul-Haq
info,player,Durban's Super Giants,Noor Ahmad
info,player,Sunrisers Eastern Cape,DG Bedingham
info,player,Sunrisers Eastern Cape,Z Crawley
info,player,Sunrisers Eastern Cape,TB Abell
info,player,Sunrisers Eastern Cape,J Hermann
info,player,Sunrisers Eastern Cape,AK Markram
info,player,Sunrisers Eastern Cape,M Jansen
info,player,Sunrisers Eastern Cape,T Stubbs
info,player,Sunrisers Eastern Cape,LA Dawson
info,player,Sunrisers Eastern Cape,SR Harmer
info,player,Sunrisers Eastern Cape,OEG Baartman
info,player,Sunrisers Eastern Cape,RJ Gleeson
info,registry,people,AK Markram,6a26221c
info,registry,people,AM Sodumo,cc6850ec
info,registry,people,BA King,7fca84b7
info,registry,people,CJ Dala,1cb14aa4
info,registry,people,DG Bedingham,a1b69936
info,registry,people,H Klaasen,235c2bb6
info,registry,people,J Hermann,e87aeca2
info,registry,people,JT Smuts,42172c3c
info,registry,people,KA Maharaj,0b60eb09
info,registry,people,KS Williamson,d027ba9f
info,registry,people,LA Dawson,4a461c24
info,registry,people,M Jansen,81c36ee9
info,registry,people,MP Breetzke,35f173a0
info,registry,people,Naveen-ul-Haq,c0c411cb
info,registry,people,Noor Ahmad,efc04be7
info,registry,people,OEG Baartman,6b9eb501
info,registry,people,PJ Vosloo,93a6d2d0
info,registry,people,PWA Mulder,c96f6ac5
info,registry,people,Q de Kock,372455c4
info,registry,people,RJ Gleeson,402f8494
info,registry,people,SA Fritz,d15e60c8
info,registry,people,SR Harmer,23638956
info,registry,people,Siphelele Gasa,e50baa87
info,registry,people,Stephen Harris,fdcfd4aa
info,registry,people,T Stubbs,85b3fab2
info,registry,people,TB Abell,ba9258a7
info,registry,people,Z Crawley,922e1b19
