version,2.2.0
info,balls_per_over,6
info,team,Durban's Super Giants
info,team,MI Cape Town
info,gender,male
info,season,2024/25
info,date,2025/01/25
info,event,SA20
info,match_number,21
info,venue,"Newlands, Cape Town"
info,city,Cape Town
info,toss_winner,MI Cape Town
info,toss_decision,field
info,player_of_match,H Klaasen
info,umpire,Siphelele Gasa
info,umpire,Stephen Harris
info,reserve_umpire,TC Mokorosi
info,tv_umpire,BP Jele
info,match_referee,GH Pienaar
info,winner,MI Cape Town
info,winner_wickets,7
info,player,Durban's Super Giants,Q de Kock
info,player,Durban's Super Giants,BA King
info,player,Durban's Super Giants,MP Breetzke
info,player,Durban's Super Giants,KS Williamson
info,player,Durban's Super Giants,MP Stoinis
info,player,Durban's Super Giants,H Klaasen
info,player,Durban's Super Giants,PWA Mulder
info,player,Durban's Super Giants,KA Maharaj
info,player,Durban's Super Giants,CJ Dala
info,player,Durban's Super Giants,P Subrayen
info,player,Durban's Super Giants,Noor Ahmad
info,player,MI Cape Town,RD Rickelton
info,player,MI Cape Town,HE van der Dussen
info,player,MI Cape Town,D Brevis
info,player,MI Cape Town,Sediqullah Atal
info,player,MI Cape Town,GF Linde
info,player,MI Cape Town,RR Hendricks
info,player,MI Cape Town,D Potgieter
info,player,MI Cape Town,C Bosch
info,player,MI Cape Town,Rashid Khan
info,player,MI Cape Town,K Rabada
info,player,MI Cape Town,TA Boult
info,registry,people,BA King,7fca84b7
info,registry,people,BP Jele,7bb1331e
info,registry,people,C Bosch,172dff15
info,registry,people,CJ Dala,1cb14aa4
info,registry,people,D Brevis,844e79d1
info,registry,people,D Potgieter,60fbf53a
info,registry,people,GF Linde,e5437608
info,registry,people,GH Pienaar,3516e46b
info,registry,people,H Klaasen,235c2bb6
info,registry,people,HE van der Dussen,9948e262
info,registry,people,K Rabada,e62dd25d
info,registry,people,KA Maharaj,0b60eb09
info,registry,people,KS Williamson,d027ba9f
info,registry,people,MP Breetzke,35f173a0
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,Noor Ahmad,efc04be7
info,registry,people,P Subrayen,7ec9711d
info,registry,people,PWA Mulder,c96f6ac5
info,registry,people,Q de Kock,372455c4
info,registry,people,RD Rickelton,e66732f8
info,registry,people,RR Hendricks,b8cc58c9
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,Sediqullah Atal,3c28853f
info,registry,people,Siphelele Gasa,e50baa87
info,registry,people,Stephen Harris,fdcfd4aa
info,registry,people,TA Boult,a818c1be
info,registry,people,TC Mokorosi,e93c3cf8
