version,2.2.0
info,balls_per_over,6
info,team,MI Cape Town
info,team,Pretoria Capitals
info,gender,male
info,season,2024/25
info,date,2025/01/31
info,event,SA20
info,match_number,27
info,venue,"SuperSport Park, Centurion"
info,city,Centurion
info,toss_winner,Pretoria Capitals
info,toss_decision,field
info,player_of_match,D Brevis
info,umpire,A Jacobs
info,umpire,TC Mokorosi
info,reserve_umpire,BM White
info,tv_umpire,Siphelele Gasa
info,match_referee,SB Lambson
info,winner,MI Cape Town
info,winner_runs,27
info,player,MI Cape Town,HE van der Dussen
info,player,MI Cape Town,RD Rickelton
info,player,MI Cape Town,RR Hendricks
info,player,MI Cape Town,CA Ingram
info,player,MI Cape Town,D Brevis
info,player,MI Cape Town,C Bosch
info,player,MI Cape Town,D Potgieter
info,player,MI Cape Town,Azmatullah Omarzai
info,player,MI Cape Town,Rashid Khan
info,player,MI Cape Town,TA Boult
info,player,MI Cape Town,MJ Potts
info,player,Pretoria Capitals,WG Jacks
info,player,Pretoria Capitals,S Stolk
info,player,Pretoria Capitals,WCF Smeed
info,player,Pretoria Capitals,K Verreynne
info,player,Pretoria Capitals,MJ Ackerman
info,player,Pretoria Capitals,AJ Turner
info,player,Pretoria Capitals,K Lion-Cachet
info,player,Pretoria Capitals,M Pretorius
info,player,Pretoria Capitals,S Muthusamy
info,player,Pretoria Capitals,TS Rogers
info,player,Pretoria Capitals,GG Peters
info,registry,people,A Jacobs,70d117de
info,registry,people,AJ Turner,ff1e12a0
info,registry,people,Azmatullah Omarzai,8f6dd463
info,registry,people,BM White,66c21d35
info,registry,people,C Bosch,172dff15
info,registry,people,CA Ingram,c995d726
info,registry,people,D Brevis,844e79d1
info,registry,people,D Potgieter,60fbf53a
info,registry,people,GG Peters,360f4e4b
info,registry,people,HE van der Dussen,9948e262
info,registry,people,K Lion-Cachet,aed9ac31
info,registry,people,K Verreynne,bf814547
info,registry,people,M Pretorius,54c2b697
info,registry,people,MJ Ackerman,6287d981
info,registry,people,MJ Potts,894b2d25
info,registry,people,RD Rickelton,e66732f8
info,registry,people,RR Hendricks,b8cc58c9
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,S Muthusamy,7dfb8890
info,registry,people,S Stolk,407563b0
info,registry,people,SB Lambson,4146063f
info,registry,people,Siphelele Gasa,e50baa87
info,registry,people,TA Boult,a818c1be
info,registry,people,TC Mokorosi,e93c3cf8
info,registry,people,TS Rogers,1b04e02b
info,registry,people,WCF Smeed,4e18e961
info,registry,people,WG Jacks,9caf69a1
